Timestamp,Message,Subtype
06-06-2024 12:08,Mom's introduction will be another level ğŸ¤ª,text_system
18-06-2024 22:07,NMIMS is good ğŸ‘,text_system
01-07-2024 12:21,"Hi All, Can some please help me with the retrenchment policy?",text_system
01-07-2024 12:42,We are creating a retrenchment policy for the employees who are bench for more than 3 months.,text_system
17-07-2024 11:23,Yes,text_system
01-08-2024 11:47,Welcome to RR community everyone! ğŸ™Œ,text_system
02-08-2024 18:32,"Only messages that mention or people share with @AI can be read by Meta. Meta canâ€™t read any other messages in this chat, as your personal messages remain end-to-end encrypted. 

Messages are generated by AI. Some may be inaccurate or inappropriate. *Learn more*",text_system
05-08-2024 14:23,Infin tech.Rakesh.vcf (file attached),text_system
05-08-2024 14:24,ğŸ‘†ğŸ»they provide laptop on rental basis. @â¨Sampath Arni Ravi HR TBC1â©,text_system
13-08-2024 14:24,WTC Sanjith.vcf (file attached),text_system
13-08-2024 14:26,@Gunjan Das TA Head Attentive.ai contact Sanjith for co-working space at Regus,text_system
20-09-2024 19:18,Training & Placement Offer,text_system
30-09-2024 16:16,We have our team in the Philippines. I can help out.,text_system
09-10-2024 15:25,You can mention 1st Oct and mark the payment as financial assistance or bonus. <This message was edited>,text_system
04-12-2024 22:28,Galaxy Computer.vcf (file attached),text_system
17-04-2025 17:34,"I've recently implemented Keka HR in my company, and it's been a great fit. Their features are well-designed and cater perfectly to our specific requirements.",text_system
17-04-2025 17:38,<Media omitted>,text_system
17-04-2025 17:39,Steve Varghese CeeQ.vcf (file attached),text_system
20-05-2025 13:29,Sure,text_system
05-06-2025 09:28,"Hi All, Am looking for a law firm based in Bangalore to handle labor cases. Can anyone help me with the references.",text_system
05-06-2025 09:59,Thank you all ğŸ™ğŸ»,text_system
09-09-2025 21:08,"Hi Everyone
One of  my friend is currently looking for a reliable, Bangalore-based placement consultancy to assist with job opportunities in his field. Can you all please give me some suggestion on this?",text_system
09-09-2025 21:09,He is an immediate joiner,text_system
19-09-2025 13:59,"15 Privilege Leaves 
10 Sick Leaves 
10 National Holidays

We payout 5 unused leaves at the end of every year. <This message was edited>",text_system
23-09-2025 13:40,"Hi All, Can anyone guide me on Form P (retrenchment) - process, submission timeline and documentation. 

Appreciate your help, Thank you.",text_system